Participant,Unfamiliar_Upright,Unfamiliar_Inverted,Familiar_Upright,Familiar_Inverted,Self_Upright,Self_Inverted,Age
AKM,0.426809558,0.735480874,0.681415109,0.341896019,0.442222436,0.528326819,36
AM,0.403776884,0.380428687,0.39904095,0.327952107,0.369581632,0.424301981,37
AP,0.660354034,0.67194988,0.655412159,0.721124402,0.687276105,0.755788249,65
CF,0.682950587,0.724076301,0.63697075,0.726408466,0.662049726,0.831733943,55
CH,0.562526526,0.686138142,0.543325142,0.535257873,0.482385216,0.46916119,50
DA,0.229612769,0.211743393,0.234183514,0.206798902,0.194896984,0.214057863,56
EA,0.335868772,0.364177401,0.294773144,0.366431902,0.304613883,0.299397706,37
EC,0.26974778,0.294970927,0.326796999,0.323489721,0.284417707,0.316728179,29
ER,0.54361913,0.513205526,0.527990101,0.521626663,0.482447806,0.536736343,18
HH,0.73634572,0.842393653,0.704605313,0.813362551,0.755696884,0.888624881,46
IH,0.273476784,0.354004171,0.3250808,0.371394934,0.241248663,0.327446074,18
JB,0.447187483,0.469002438,0.424511337,0.375113397,0.383006303,0.385512858,48
JN,0.421732573,0.436556967,0.424683888,0.426312541,0.422290911,0.404949218,50
JR,0.474687049,0.500484497,0.454359202,0.510868827,0.464031511,0.411364866,48
JS,0.517137627,0.549072669,0.548046532,0.546213612,0.492576621,0.533258354,24
JT,0.668263441,0.621752155,0.600000002,0.69557802,0.608950239,0.723363367,53
KD,0.708957503,0.620064366,0.679083423,0.666587029,0.669791127,0.730993688,41
KG,0.584319382,0.767664603,0.562205452,0.727336195,0.597059648,0.666404335,50
KM1,1.24178047,1.151375709,0.979661369,1.165449742,1.089897766,1.236457319,37
KO,0.941568249,1.148745606,0.836112895,0.902619683,0.808475527,0.774459221,33
LD,0.376492369,0.436698843,0.335251644,0.469031516,0.375060528,0.334929842,42
LS,0.301104605,0.308700659,0.284584254,0.264195294,0.287130179,0.290015364,31
NP,0.676511075,0.882322661,0.734056793,0.787546954,0.721826462,0.81627183,48
RG,0.530510926,0.566210964,0.464719118,0.51761091,0.477835195,0.554859506,29
RJ,0.730140474,0.666357656,0.623471415,0.774163188,0.707364876,0.705112946,60
SH,0.40878845,0.430831187,0.382346915,0.422009304,0.339220272,0.382158907,54
SP,0.510918215,0.588996266,0.531853572,0.491343056,0.707930901,0.555118853,49
WJ,1.105783834,1.049730774,1.112875113,1.157044113,1.01583718,1.063289556,62
